Region Name	Abbreviated Name
1 Md:medulla_L	Md_L
2 Pn:pons_L	Pn_L
3 Cb:cerebellum_L	Cb_L
4 Th:thalamus_putamen_L	Th_L
5 Pir:piriform_cortex_L	Pir_L
6 AI:agranular_insular_cortex_L	AI_L
7 DI:dysgranular_insular_cortex_L	DI_L
8 GI:granular_insular_cortex_L	GI_L
9 IPro:insular_proisocortex_L	IPro_L
10 23:area_23_of_cortex_L	23_L
11 24a:area_24a_of_cortex_L	24a_L
12 24b:area_24b_of_cortex_L	24b_L
13 29d:area_29d_of_cortex_L	29d_L
14 31:area_31_of_cortex_L	31_L
15 32:area_32_of_cortex_L	32_L
16 PGM31:area_PGM31_of_cortex_L	PGM31_L
17 PECg:parietal_area_PE_cingulate_part_L	PECg_L
18 23x:unnamed_region_sections_102-114_called_23_more_anteriorly_L	23x_L
19 JxSt:juxtastriate_area_L	JxSt_L
20 V1:visual_area_1_(primary_visual_cortex)_L	V1_L
21 V2:visual_area_2_L	V2_L
22 V3D:visual_area_3_dorsal_part_L	V3D_L
23 1:area_1_of_cortex_(somatosensory)_L	1_L
24 21:areas_21_of_cortex_(somatosensory)_L	21_L
25 2:area_2_of_cortex_(somatosensory)_L	2_L
26 2Ve:area_2_of_cortex_vestibular_part_L	2Ve_L
27 3a:area_3a_of_cortex_(somatosensory)_L	3a_L
28 3b:area_3b_of_cortex_(somatosensory)_L	3b_L
29 DIP:depth_intraparietal_area_L	DIP_L
30 Dpt:dorsal_parietal_area_L	Dpt_L
31 OPt:occipitoparietal_area_L	Opt_L
32 PE:parietal_area_PE_L	PE_L
33 PEC:parietal_area_PE_caudal_part_L	PEC_L
34 PEa:parietal_area_PEa_L	Pea_L
35 PFCx:parietal_area_PF_(cortex)_L	PFCx_L
36 PG:parietal_area_PG_L	PG_L
37 PGOp:parietal_area_PG_opercular_part_L	PGOp_L
38 POaE:parietal_area_POa_external_part_L	POaE_L
39 POaI:parietal_area_POa_internal_part_L	POaI_L
40 PO:parieto-occipital_area_L	PO_L
41 POa:parietooccipital_associated_area_in_the_intraparietal_sulcus_L	Poa_L
42 PPt:posterior_parietal_area_L	PPt_L
43 ReIP:retroinsular_area_parietal_part_L	ReIP_L
44 V4D:visual_area_4_dorsal_part_L	V4D_L
45 PGa:area_PG_associated_region_of_the_superior_temporal_sulcus_L	Pga_L
46 MST:medial_superior_temporal_area_L	MST_L
47 MT(V5):middle_temporal_area_(visual_area_5)_L	MT(V5)_L
48 Tpt:temporoparietal_cortex_L	Tpt_L
